福建地方,#genre#
中国气象,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
南安卫视,http://natv.cnjrna.com:3000/channel/sovp/1000000000000018/video_1564_none.m3u8
泉州1套,http://live5.setvn.com:9099/live/qz1_1200.m3u8
泉州2套,http://live5.setvn.com:9099/live/qz2_1200.m3u8
泉州3套,http://live5.setvn.com:9099/live/qz3_1200.m3u8
泉州4套,http://live5.setvn.com:9099/live/qz4_1200.m3u8
福建综合高清,http://27.148.240.138/PLTV/88888888/224/3221226722/1.m3u8
东南卫视高清,http://27.148.240.138/PLTV/88888888/224/3221226754/1.m3u8
福建公共高清,http://27.148.240.138/PLTV/88888888/224/3221226928/1.m3u8
福建新闻高清,http://27.148.240.138/PLTV/88888888/224/3221226736/1.m3u8
福建电视剧,http://27.148.240.138/PLTV/88888888/224/3221226732/1.m3u8
福建旅游,http://27.148.240.138/PLTV/88888888/224/3221226854/1.m3u8
福建经济,http://27.148.240.138/PLTV/88888888/224/3221226920/1.m3u8
福建体育高清,http://27.148.240.138/PLTV/88888888/224/3221226749/1.m3u8
福建少儿,http://27.148.240.138/PLTV/88888888/224/3221226738/1.m3u8
海峡卫视高清,http://27.148.240.138/PLTV/88888888/224/3221226748/1.m3u8
福建教育电视台,http://27.148.240.138/PLTV/88888888/224/3221226884/1.m3u8
厦门卫视高清,http://cstvpull.live.wscdns.com/live/xiamen.flv
厦门1套高清,http://cstvpull.live.wscdns.com/live/xiamen1.flv
厦门2套高清,http://cstvpull.live.wscdns.com/live/xiamen2.flv
厦门3套高清,http://cstvpull.live.wscdns.com/live/xiamen3.flv
厦门4套高清,http://cstvpull.live.wscdns.com/live/xiamen4.flv
厦门移动,http://cstvpull.live.wscdns.com/live/xiamenyidong.flv
福建电信,#genre#
福建综合,http://27.148.240.138/PLTV/88888888/224/3221226745/1.m3u8
福建新闻(高清),http://27.148.240.138/PLTV/88888888/224/3221226736/1.m3u8
福建公共频道(高清),http://27.148.240.138/PLTV/88888888/224/3221226928/1.m3u8
福建电视剧,http://27.148.240.138/PLTV/88888888/224/3221226732/1.m3u8
福建旅游,http://27.148.240.138/PLTV/88888888/224/3221226854/1.m3u8
福建经济生活,http://27.148.240.138/PLTV/88888888/224/3221226920/1.m3u8
福建体育(高清),http://27.148.240.138/PLTV/88888888/224/3221226749/1.m3u8
福建少儿,http://27.148.240.138/PLTV/88888888/224/3221226738/1.m3u8
福建教育频道,http://27.148.240.138/PLTV/88888888/224/3221226884/1.m3u8
海峡卫视(高清),http://27.148.240.138/PLTV/88888888/224/3221226748/1.m3u8
凤凰卫视资讯台,http://27.148.240.138/PLTV/88888888/224/3221226929/1.m3u8
凤凰卫视中文台,http://27.148.240.138/PLTV/88888888/224/3221226980/1.m3u8
CCTV-1(高清),http://27.148.240.138/PLTV/88888888/224/3221226773/1.m3u8
CCTV-2(高清),http://27.148.240.138/PLTV/88888888/224/3221226788/1.m3u8
CCTV-3(高清),,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225606/1.m3u8
CCTV-4(高清),http://27.148.240.138/PLTV/88888888/224/3221226784/1.m3u8
CCTV-5(高清),http://27.148.240.138/PLTV/88888888/224/3221226978/1.m3u8
CCTV-6(高清),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225607/1.m3u8
CCTV-7(高清),http://27.148.240.138/PLTV/88888888/224/3221226780/1.m3u8
CCTV-8(高清),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225608/1.m3u8
CCTV-9(高清),http://27.148.240.138/PLTV/88888888/224/3221226849/1.m3u8
CCTV-10(高清),http://27.148.240.138/PLTV/88888888/224/3221226779/1.m3u8
CCTV-11(高清),http://27.148.240.138/PLTV/88888888/224/3221226888/1.m3u8
CCTV-12(高清),http://27.148.240.138/PLTV/88888888/224/3221226792/1.m3u8
CCTV-13(标清),http://27.148.240.138/PLTV/88888888/224/3221226769/1.m3u8
CCTV-14(高清),http://27.148.240.138/PLTV/88888888/224/3221226762/1.m3u8
CCTV-15(高清),http://27.148.240.138/PLTV/88888888/224/3221226775/1.m3u8
CCTV-17(高清),http://27.148.240.138/PLTV/88888888/224/3221227055/1.m3u8
中国教育-1(高清),http://27.148.240.138/PLTV/88888888/224/3221226912/1.m3u8
东南卫视(高清),http://27.148.240.138/PLTV/88888888/224/3221226754/1.m3u8
东方卫视(高清),http://27.148.240.138/PLTV/88888888/224/3221226765/1.m3u8
湖南卫视(高清),http://27.148.240.138/PLTV/88888888/224/3221226753/1.m3u8
江苏卫视(高清),http://27.148.240.138/PLTV/88888888/224/3221226752/1.m3u8
浙江卫视(高清),http://27.148.240.138/PLTV/88888888/224/3221226763/1.m3u8
河北卫视(高清),http://27.148.240.138/PLTV/88888888/224/3221226943/1.m3u8
广东卫视(高清),http://27.148.240.138/PLTV/88888888/224/3221226746/1.m3u8
山东卫视(高清),http://27.148.240.138/PLTV/88888888/224/3221226984/1.m3u8
湖北卫视(高清),http://27.148.240.138/PLTV/88888888/224/3221226933/1.m3u8
黑龙江卫视(高清),http://27.148.240.138/PLTV/88888888/224/3221226720/1.m3u8
贵州卫视(高清),http://27.148.240.138/PLTV/88888888/224/3221226728/1.m3u8
安徽卫视(高清),http://27.148.240.138/PLTV/88888888/224/3221226756/1.m3u8
天津卫视(高清),http://27.148.240.138/PLTV/88888888/224/3221226760/1.m3u8
四川卫视(高清),http://27.148.240.138/PLTV/88888888/224/3221226767/1.m3u8
江西卫视(高清),http://27.148.240.138/PLTV/88888888/224/3221226757/1.m3u8
辽宁卫视(高清),http://27.148.240.138/PLTV/88888888/224/3221226783/1.m3u8
重庆卫视(高清),http://27.148.240.138/PLTV/88888888/224/3221226730/1.m3u8
北京卫视(高清),http://27.148.240.138/PLTV/88888888/224/3221226764/1.m3u8
河南卫视(高清),http://27.148.240.138/PLTV/88888888/224/3221226904/1.m3u8
海南卫视(高清),http://27.148.240.138/PLTV/88888888/224/3221226990/1.m3u8
吉林卫视(高清),http://27.148.240.138/PLTV/88888888/224/3221226865/1.m3u8
云南卫视(高清),http://27.148.240.138/PLTV/88888888/224/3221226900/1.m3u8
广西卫视,http://27.148.240.138/PLTV/88888888/224/3221226834/1.m3u8
陕西卫视,http://27.148.240.138/PLTV/88888888/224/3221226908/1.m3u8
青海卫视,http://27.148.240.138/PLTV/88888888/224/3221226838/1.m3u8
宁夏卫视,http://27.148.240.138/PLTV/88888888/224/3221226842/1.m3u8
山西卫视,http://27.148.240.138/PLTV/88888888/224/3221226869/1.m3u8
甘肃卫视,http://27.148.240.138/PLTV/88888888/224/3221226867/1.m3u8
内蒙古卫视,http://27.148.240.138/PLTV/88888888/224/3221226846/1.m3u8
新疆卫视,http://27.148.240.138/PLTV/88888888/224/3221226952/1.m3u8
兵团卫视,http://27.148.240.138/PLTV/88888888/224/3221226918/1.m3u8
西藏卫视,http://27.148.240.138/PLTV/88888888/224/3221226905/1.m3u8
南方卫视,http://27.148.240.138/PLTV/88888888/224/3221226823/1.m3u8
三沙卫视,http://27.148.240.138/PLTV/88888888/224/3221227072/1.m3u8
金鹰纪实(高清),http://27.148.240.138/PLTV/88888888/224/3221227003/1.m3u8
纪实人文(高清),http://27.148.240.138/PLTV/88888888/224/3221226734/1.m3u8
游戏风云(高清),http://27.148.240.138/PLTV/88888888/224/3221226759/1.m3u8
全纪实(高清),http://27.148.240.138/PLTV/88888888/224/3221226768/1.m3u8
欢笑剧场(高清),http://27.148.240.138/PLTV/88888888/224/3221226761/1.m3u8
都市剧场(高清),http://27.148.240.138/PLTV/88888888/224/3221226724/1.m3u8
极速汽车(高清),http://27.148.240.138/PLTV/88888888/224/3221226742/1.m3u8
动漫秀场(高清),http://27.148.240.138/PLTV/88888888/224/3221226750/1.m3u8
快乐垂钓(高清),http://27.148.240.138/PLTV/88888888/224/3221226999/1.m3u8
生活时尚(高清),http://27.148.240.138/PLTV/88888888/224/3221226740/1.m3u8
金鹰卡通,http://27.148.240.138/PLTV/88888888/224/3221226726/1.m3u8
卡酷卡通,http://27.148.240.138/PLTV/88888888/224/3221226916/1.m3u8
哈哈炫动,http://27.148.240.138/PLTV/88888888/224/3221226988/1.m3u8
嘉佳卡通,http://27.148.240.138/PLTV/88888888/224/3221226890/1.m3u8
法治天地,http://27.148.240.138/PLTV/88888888/224/3221226947/1.m3u8
东方财经,http://27.148.240.138/PLTV/88888888/224/3221226960/1.m3u8
金色频道,http://27.148.240.138/PLTV/88888888/224/3221226923/1.m3u8
七彩戏剧,http://27.148.240.138/PLTV/88888888/224/3221226913/1.m3u8
陶瓷(高清),http://27.148.240.138/PLTV/88888888/224/3221226964/1.m3u8
中国教育-2,http://27.148.240.138/PLTV/88888888/224/3221226840/1.m3u8
中国教育-4,http://27.148.240.138/PLTV/88888888/224/3221227075/1.m3u8
中国气象,http://27.148.240.138/PLTV/88888888/224/3221226861/1.m3u8
导视,http://27.148.240.138/PLTV/88888888/224/3221226917/1.m3u8
电竞天堂,http://27.148.240.138/PLTV/88888888/224/3221226898/1.m3u8
全球大片,http://27.148.240.138/PLTV/88888888/224/3221226968/1.m3u8
星光影院,http://27.148.240.138/PLTV/88888888/224/3221226972/1.m3u8
热门剧场,http://27.148.240.138/PLTV/88888888/224/3221226825/1.m3u8
股评汇,http://27.148.240.138/PLTV/88888888/224/3221226835/1.m3u8
港剧风云,http://27.148.240.138/PLTV/88888888/224/3221226875/1.m3u8
百变课堂,http://27.148.240.138/PLTV/88888888/224/3221226821/1.m3u8
谍战剧场,http://27.148.240.138/PLTV/88888888/224/3221226902/1.m3u8
青春动漫,http://27.148.240.138/PLTV/88888888/224/3221226931/1.m3u8
戏曲精选,http://27.148.240.138/PLTV/88888888/224/3221226906/1.m3u8
热门综艺,http://27.148.240.138/PLTV/88888888/224/3221226935/1.m3u8
健康养生,http://27.148.240.138/PLTV/88888888/224/3221226939/1.m3u8
看天下精选,http://27.148.240.138/PLTV/88888888/224/3221226921/1.m3u8
宝宝动画,http://27.148.240.138/PLTV/88888888/224/3221226910/1.m3u8
汽车世界,http://27.148.240.138/PLTV/88888888/224/3221226925/1.m3u8
优购物,http://27.148.240.138/PLTV/88888888/224/3221226853/1.m3u8
快乐购物,http://27.148.240.138/PLTV/88888888/224/3221227037/1.m3u8
央广购物,http://27.148.240.138/PLTV/88888888/224/3221226826/1.m3u8
家有购物,http://27.148.240.138/PLTV/88888888/224/3221226896/1.m3u8
熊猫频道,http://27.148.240.138/PLTV/88888888/224/3221226882/1.m3u8
直播室105,http://27.148.240.138/PLTV/88888888/224/3221227044/1.m3u8
直播室109,http://27.148.240.138/PLTV/88888888/224/3221226978/1.m3u8
党建频道,http://27.148.240.138/PLTV/88888888/224/3221227035/1.m3u8
福建移动,#genre#
纯享4K 20M2160,http://39.135.225.5:18890/PLTV/88888888/224/3221226825/index.m3u8
凤凰中文 720,http://39.135.225.5:18890/PLTV/88888888/224/3221225900/index.m3u8
凤凰资讯 720,http://39.135.225.5:18890/PLTV/88888888/224/3221225901/index.m3u8
CCTV1 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225829/index.m3u8
CCTV1 2.5M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221227014/index.m3u8
CCTV1 720,http://39.135.225.5:18890/PLTV/88888888/224/3221225812/index.m3u8
CCTV1 720,http://39.135.225.5:18890/PLTV/88888888/224/3221226715/index.m3u8
CCTV1 720,http://39.135.225.5:18890/PLTV/88888888/224/3221226715/index.m3u8
CCTV1 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225922/index.m3u8
CCTV1 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226908/index.m3u8
CCTV2 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225800/index.m3u8
CCTV2 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226795/index.m3u8
CCTV2 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225923/index.m3u8
CCTV4 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225802/index.m3u8
CCTV5 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226560/index.m3u8
CCTV5+ 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225821/index.m3u8
CCTV5+ 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225939/index.m3u8
CCTV7 12M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226803/index.m3u8
CCTV7 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225805/index.m3u8
CCTV7 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225927/index.m3u8
CCTV7 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226998/index.m3u8
CCTV7 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221226998/index.m3u8
CCTV9 4M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225820/index.m3u8
CCTV9 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225929/index.m3u8
CCTV10 2.5M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225814/index.m3u8
CCTV10 8M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225931/index.m3u8
CCTV11 3.5M1080,http://39.135.225.5:18890/PLTV/88888888/224/3221225815/index.m3u8
